"SubscriptionShippingID","SubscriptionID","ShippingMethodName","ShippingCost","ShippingTax"
"58293","48833","GRATIS","0.00","0.00"
"58297","48835","GRATIS","0.00","0.00"
"58301","48837","GRATIS","0.00","0.00"
"58319","48844","GRATIS","0.00","0.00"
"58323","48846","GRATIS","0.00","0.00"
"58327","48848","GRATIS","0.00","0.00"
"58332","48850","GRATIS","0.00","0.00"
"58336","48852","GRATIS","0.00","0.00"
"58340","48854","GRATIS","0.00","0.00"
"58365","48863","GRATIS","0.00","0.00"
"58390","48876","GRATIS","0.00","0.00"
"58405","48884","GRATIS","0.00","0.00"
"58450","48913","GRATIS","0.00","0.00"
"58628","48999","GRATIS","0.00","0.00"
"58634","49002","GRATIS","0.00","0.00"
"103924","49040","Verzendkosten","3.99","0.00"
"103925","49100","Verzendkosten","3.99","0.00"
"58813","49106","GRATIS","0.00","0.00"
"103926","49151","Verzendkosten","3.99","0.00"
"103927","49161","Verzendkosten","3.99","0.00"
"58933","49175","GRATIS","0.00","0.00"
"58941","49179","GRATIS","0.00","0.00"
"58950","49182","GRATIS","0.00","0.00"
"58956","49184","GRATIS","0.00","0.00"
"103928","49268","Verzendkosten","3.99","0.00"
"103929","49293","Verzendkosten","3.99","0.00"
"103930","49310","Verzendkosten","3.99","0.00"
"59274","49333","GRATIS","0.00","0.00"
"59281","49336","GRATIS","0.00","0.00"
"103931","49346","Verzendkosten","3.99","0.00"
"103932","49392","Verzendkosten","3.99","0.00"
"59445","49416","GRATIS","0.00","0.00"
"59489","49435","GRATIS","0.00","0.00"
"103933","49452","Verzendkosten","3.99","0.00"
"59537","49456","GRATIS","0.00","0.00"
"59582","49476","GRATIS","0.00","0.00"
"59639","49500","GRATIS","0.00","0.00"
"103934","49509","Verzendkosten","3.99","0.00"
"59702","49528","GRATIS","0.00","0.00"
"59718","49531","GRATIS","0.00","0.00"
"103935","49552","Verzendkosten","3.99","0.00"
"103936","49655","Verzendkosten","3.99","0.00"
"60024","49675","GRATIS","0.00","0.00"
"60052","49686","GRATIS","0.00","0.00"
"103937","49712","Verzendkosten","3.99","0.00"
"103938","49763","Verzendkosten","3.99","0.00"
"103939","49768","Verzendkosten","3.99","0.00"
"60234","49773","GRATIS","0.00","0.00"
"60258","49789","GRATIS","0.00","0.00"
"60263","49793","GRATIS","0.00","0.00"
"60276","49799","GRATIS","0.00","0.00"
"103940","49801","Verzendkosten","3.99","0.00"
"60285","49803","GRATIS","0.00","0.00"
"60321","49823","GRATIS","0.00","0.00"
"103941","49858","Verzendkosten","3.99","0.00"
"60526","49917","GRATIS","0.00","0.00"
"103942","49966","Verzendkosten","3.99","0.00"
"60732","50013","GRATIS","0.00","0.00"
"60838","50059","GRATIS","0.00","0.00"
"103943","50066","Verzendkosten","3.99","0.00"
"60877","50076","GRATIS","0.00","0.00"
"61038","50154","GRATIS","0.00","0.00"
"103944","50169","Verzendkosten","3.99","0.00"
"103945","50172","Verzendkosten","3.99","0.00"
"61406","50326","GRATIS","0.00","0.00"
"103946","50365","Verzendkosten","3.99","0.00"
"61504","50371","GRATIS","0.00","0.00"
"103947","50415","Verzendkosten","3.99","0.00"
"61709","50485","GRATIS","0.00","0.00"
"61755","50506","GRATIS","0.00","0.00"
"103949","50564","Verzendkosten","3.99","0.00"
"61944","50597","GRATIS","0.00","0.00"
"61955","50602","Spanje","9.99","0.00"
"103950","50607","Verzendkosten","3.99","0.00"
"62039","50673","GRATIS","0.00","0.00"
"62123","50789","GRATIS","0.00","0.00"
"62136","50795","GRATIS","0.00","0.00"
"103951","50797","Verzendkosten","3.99","0.00"
"103952","50810","Verzendkosten","3.99","0.00"
"103953","50812","Verzendkosten","3.99","0.00"
"103954","50817","Verzendkosten","3.99","0.00"
"62217","50832","GRATIS","0.00","0.00"
"62275","50867","GRATIS","0.00","0.00"
"103955","50870","Verzendkosten","3.99","0.00"
"62384","50919","GRATIS","0.00","0.00"
"62450","50948","GRATIS","0.00","0.00"
"62483","50954","GRATIS","0.00","0.00"
"62511","50968","GRATIS","0.00","0.00"
"62570","50996","GRATIS","0.00","0.00"
"103956","51044","Verzendkosten","3.99","0.00"
"103957","51046","Verzendkosten","3.99","0.00"
"103958","51096","Verzendkosten","3.99","0.00"
"103959","51115","Verzendkosten","3.99","0.00"
"62831","51122","GRATIS","0.00","0.00"
"103960","51134","Verzendkosten","3.99","0.00"
"103961","51138","Verzendkosten","3.99","0.00"
"103962","51145","Verzendkosten","3.99","0.00"
"62943","51169","GRATIS","0.00","0.00"
"62959","51176","GRATIS","0.00","0.00"
"103963","51190","Verzendkosten","3.99","0.00"
"63026","51211","GRATIS","0.00","0.00"
"63040","51217","GRATIS","0.00","0.00"
"63046","51220","GRATIS","0.00","0.00"
"103964","51251","Verzendkosten","3.99","0.00"
"103965","51258","Verzendkosten","3.99","0.00"
"103966","51273","Verzendkosten","3.99","0.00"
"63172","51282","GRATIS","0.00","0.00"
"63192","51291","GRATIS","0.00","0.00"
"103967","51302","Verzendkosten","3.99","0.00"
"103968","51309","Verzendkosten","3.99","0.00"
"63256","51323","GRATIS","0.00","0.00"
"63318","51350","GRATIS","0.00","0.00"
"63497","51433","GRATIS","0.00","0.00"
"63648","51519","GRATIS","0.00","0.00"
"63654","51521","GRATIS","0.00","0.00"
"63670","51528","GRATIS","0.00","0.00"
"103969","51539","Verzendkosten","3.99","0.00"
"63789","51584","GRATIS","0.00","0.00"
"103970","51586","Verzendkosten","3.99","0.00"
"63830","51601","GRATIS","0.00","0.00"
"63856","51612","GRATIS","0.00","0.00"
"103971","51633","Verzendkosten","3.99","0.00"
"103972","51642","Verzendkosten","3.99","0.00"
"103973","51699","Verzendkosten","3.99","0.00"
"103974","51711","Verzendkosten","3.99","0.00"
"64113","51737","GRATIS","0.00","0.00"
"64206","51778","GRATIS","0.00","0.00"
"103975","51791","Verzendkosten","3.99","0.00"
"103976","51842","Verzendkosten","3.99","0.00"
"103977","51848","Verzendkosten","3.99","0.00"
"64415","51874","GRATIS","0.00","0.00"
"64476","51903","GRATIS","0.00","0.00"
"103978","51963","Verzendkosten","3.99","0.00"
"64655","51986","GRATIS","0.00","0.00"
"64704","52008","GRATIS","0.00","0.00"
"64770","52039","GRATIS","0.00","0.00"
"103979","52051","Verzendkosten","3.99","0.00"
"64799","52057","GRATIS","0.00","0.00"
"64826","52069","GRATIS","0.00","0.00"
"103980","52116","Verzendkosten","3.99","0.00"
"64941","52123","GRATIS","0.00","0.00"
"103981","52148","Verzendkosten","3.99","0.00"
"65018","52159","GRATIS","0.00","0.00"
"103982","52165","Verzendkosten","3.99","0.00"
"103983","52174","Verzendkosten","3.99","0.00"
"103984","52212","Verzendkosten","3.99","0.00"
"103985","52224","Verzendkosten","3.99","0.00"
"103986","52226","Verzendkosten","3.99","0.00"
"103987","52266","Verzendkosten","3.99","0.00"
"65263","52272","GRATIS","0.00","0.00"
"103988","52274","Verzendkosten","3.99","0.00"
"103989","52278","Verzendkosten","3.99","0.00"
"65281","52280","GRATIS","0.00","0.00"
"65309","52294","GRATIS","0.00","0.00"
"65330","52306","GRATIS","0.00","0.00"
"65344","52310","GRATIS","0.00","0.00"
"65349","52312","GRATIS","0.00","0.00"
"65369","52321","GRATIS","0.00","0.00"
"65889","52621","GRATIS","0.00","0.00"
"66059","52709","GRATIS","0.00","0.00"
"103990","52721","Verzendkosten","3.99","0.00"
"66108","52735","GRATIS","0.00","0.00"
"66124","52742","GRATIS","0.00","0.00"
"103991","52752","Verzendkosten","3.99","0.00"
"66203","52786","GRATIS","0.00","0.00"
"66357","52857","GRATIS","0.00","0.00"
"103992","52920","Verzendkosten","3.99","0.00"
"66705","52984","GRATIS","0.00","0.00"
"66783","53021","GRATIS","0.00","0.00"
"66785","53022","GRATIS","0.00","0.00"
"103993","53063","Verzendkosten","3.99","0.00"
"67015","53146","GRATIS","0.00","0.00"
"103994","53151","Verzendkosten","3.99","0.00"
"67039","53156","GRATIS","0.00","0.00"
"103995","53158","Verzendkosten","3.99","0.00"
"103996","53182","Verzendkosten","3.99","0.00"
"103997","53254","Verzendkosten","3.99","0.00"
"67262","53263","GRATIS","0.00","0.00"
"67568","53425","GRATIS","0.00","0.00"
"67679","53479","GRATIS","0.00","0.00"
"67793","53528","GRATIS","0.00","0.00"
"103998","53531","Verzendkosten","3.99","0.00"
"67920","53621","GRATIS","0.00","0.00"
"103999","53633","Verzendkosten","3.99","0.00"
"68049","53689","GRATIS","0.00","0.00"
"104000","53713","Verzendkosten","3.99","0.00"
"104001","53759","Verzendkosten","3.99","0.00"
"104002","53858","Verzendkosten","3.99","0.00"
"104003","53863","Verzendkosten","3.99","0.00"
"104004","53894","Verzendkosten","3.99","0.00"
"104005","53918","Verzendkosten","3.99","0.00"
"68502","53975","GRATIS","0.00","0.00"
"104006","53980","Verzendkosten","3.99","0.00"
"104007","53995","Verzendkosten","3.99","0.00"
"68552","53998","GRATIS","0.00","0.00"
